WebUrl,ListTitle,ListDescription,ListTemplateId,DefaultContentTypeName,IndexedColumns,OnQuickLaunch,EnableVersioning
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mp18066u,DCTM moc_mp18066u documents,101,DCTM moc_mp18066u,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mpa_msrc,DCTM moc_mpa_msrc documents,101,DCTM moc_mpa_msrc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mpsr404225,DCTM moc_mpsr404225 documents,101,DCTM moc_mpsr404225,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_mw44041prt,DCTM moc_mw44041prt documents,101,DCTM moc_mw44041prt,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p12082b,DCTM moc_p12082b documents,101,DCTM moc_p12082b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13031,DCTM moc_p13031 documents,101,DCTM moc_p13031,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033b,DCTM moc_p13033b documents,101,DCTM moc_p13033b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13033c,DCTM moc_p13033c documents,101,DCTM moc_p13033c,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13038,DCTM moc_p13038 documents,101,DCTM moc_p13038,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p13039,DCTM moc_p13039 documents,101,DCTM moc_p13039,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p14068wal,DCTM moc_p14068wal documents,101,DCTM moc_p14068wal,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15063s,DCTM moc_p15063s documents,101,DCTM moc_p15063s,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15065,DCTM moc_p15065 documents,101,DCTM moc_p15065,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15066,DCTM moc_p15066 documents,101,DCTM moc_p15066,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068a,DCTM moc_p15068a documents,101,DCTM moc_p15068a,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068b,DCTM moc_p15068b documents,101,DCTM moc_p15068b,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068c,DCTM moc_p15068c documents,101,DCTM moc_p15068c,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068d,DCTM moc_p15068d documents,101,DCTM moc_p15068d,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068e,DCTM moc_p15068e documents,101,DCTM moc_p15068e,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15068wal,DCTM moc_p15068wal documents,101,DCTM moc_p15068wal,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15091,DCTM moc_p15091 documents,101,DCTM moc_p15091,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093,DCTM moc_p15093 documents,101,DCTM moc_p15093,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093e,DCTM moc_p15093e documents,101,DCTM moc_p15093e,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15093s,DCTM moc_p15093s documents,101,DCTM moc_p15093s,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15095,DCTM moc_p15095 documents,101,DCTM moc_p15095,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15096,DCTM moc_p15096 documents,101,DCTM moc_p15096,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15098a,DCTM moc_p15098a documents,101,DCTM moc_p15098a,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p15098g,DCTM moc_p15098g documents,101,DCTM moc_p15098g,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p16041,DCTM moc_p16041 documents,101,DCTM moc_p16041,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p17037c,DCTM moc_p17037c documents,101,DCTM moc_p17037c,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_p17037d,DCTM moc_p17037d documents,101,DCTM moc_p17037d,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_payoutert,DCTM moc_payoutert documents,101,DCTM moc_payoutert,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_pdiretchks,DCTM moc_pdiretchks documents,101,DCTM moc_pdiretchks,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_planeutil,DCTM moc_planeutil documents,101,DCTM moc_planeutil,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rebate_atl,DCTM moc_rebate_atl documents,101,DCTM moc_rebate_atl,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_refineries,DCTM moc_refineries documents,101,DCTM moc_refineries,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsdetail,DCTM moc_rsdetail documents,101,DCTM moc_rsdetail,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsk_otc_doc,DCTM moc_rsk_otc_doc documents,101,DCTM moc_rsk_otc_doc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsk_swap_comod_otc,DCTM moc_rsk_swap_comod_otc documents,101,DCTM moc_rsk_swap_comod_otc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsk_swap_currcy_otc,DCTM moc_rsk_swap_currcy_otc documents,101,DCTM moc_rsk_swap_currcy_otc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsk_swap_intrate_otc,DCTM moc_rsk_swap_intrate_otc documents,101,DCTM moc_rsk_swap_intrate_otc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsk_swap_otc,DCTM moc_rsk_swap_otc documents,101,DCTM moc_rsk_swap_otc,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rsk_value_assist,DCTM moc_rsk_value_assist documents,101,DCTM moc_rsk_value_assist,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_rvsr94,DCTM moc_rvsr94 documents,101,DCTM moc_rvsr94,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_servbill,DCTM moc_servbill documents,101,DCTM moc_servbill,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_smogreport,DCTM moc_smogreport documents,101,DCTM moc_smogreport,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_station,DCTM moc_station documents,101,DCTM moc_station,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_statistics,DCTM moc_statistics documents,101,DCTM moc_statistics,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_statreport,DCTM moc_statreport documents,101,DCTM moc_statreport,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_szr061pr,DCTM moc_szr061pr documents,101,DCTM moc_szr061pr,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_szr310pr,DCTM moc_szr310pr documents,101,DCTM moc_szr310pr,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_unclcmpshr,DCTM moc_unclcmpshr documents,101,DCTM moc_unclcmpshr,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_unclcrrept,DCTM moc_unclcrrept documents,101,DCTM moc_unclcrrept,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_usarecldet,DCTM moc_usarecldet documents,101,DCTM moc_usarecldet,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_usareclsum,DCTM moc_usareclsum documents,101,DCTM moc_usareclsum,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_value_assist,DCTM moc_value_assist documents,101,DCTM moc_value_assist,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_wmtsafety,DCTM moc_wmtsafety documents,101,DCTM moc_wmtsafety,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
