WebUrl,ListTitle,ListDescription,ListTemplateId,DefaultContentTypeName,IndexedColumns,OnQuickLaunch,EnableVersioning
http://legacydocs.murphyoilcorp.com/documentum,DCTM aps_core,DCTM aps_core documents,101,DCTM aps_core,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM dm_document,DCTM dm_document documents,101,DCTM dm_document,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_1099,DCTM moc_1099 documents,101,DCTM moc_1099,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_afe,DCTM moc_afe documents,101,DCTM moc_afe,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ap_ach,DCTM moc_ap_ach documents,101,DCTM moc_ap_ach,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_ap_due_diligence,DCTM moc_ap_due_diligence documents,101,DCTM moc_ap_due_diligence,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apaudit,DCTM moc_apaudit documents,101,DCTM moc_apaudit,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apjournal,DCTM moc_apjournal documents,101,DCTM moc_apjournal,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apprlauth,DCTM moc_apprlauth documents,101,DCTM moc_apprlauth,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_apwalmart,DCTM moc_apwalmart documents,101,DCTM moc_apwalmart,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_archive,DCTM moc_archive documents,101,DCTM moc_archive,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_auditstmt,DCTM moc_auditstmt documents,101,DCTM moc_auditstmt,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_audwrkpap,DCTM moc_audwrkpap documents,101,DCTM moc_audwrkpap,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
http://legacydocs.murphyoilcorp.com/documentum,DCTM moc_bank_acct_recon,DCTM moc_bank_acct_recon documents,101,DCTM moc_bank_acct_recon,DCTM Legacy Object Type;DCTM Legacy Creation Date;DCTM Legacy Modify Date;DCTM Legacy Chronicle ID,FALSE,TRUE
