WebUrl,ID,FieldType,Name,StaticName,DisplayName,Description,Group,EnforceUniqueValues,Hidden,Required,Sealed,ShowInDisplayForm,ShowInEditForm,ShowInNewForm,ShowInListSettings,Default,TermSet,Choices
http://cthub.murphyoilcorp.com,{2010ED30-B9B2-45DB-8283-2CBD3DFFBD06},Text,ERPLink_x0020_PO_x0020_Purchased_x0020_Group,ERPLink_x0020_PO_x0020_Purchased_x0020_Group,PO Purchased Group,,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{B3693211-347F-4666-87E5-2343F31BA571},Text,ERPLink_x0020_Processing_x0020_Group,ERPLink_x0020_Processing_x0020_Group,Processing Group,,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{DA642EB2-DC7F-414A-88F6-37D706C3F67A},Text,ERPLink_x0020_Transaction,ERPLink_x0020_Transaction,Transaction,,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{19648799-07BE-4F51-8B94-645EB7AECC03},Text,ERPLink_x0020_Transaction_x0020_Type,ERPLink_x0020_Transaction_x0020_Type,Transaction Type,BEWAR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{7DFA4C97-DFAA-4E8F-8622-15ABA4F861E2},Text,ERPLink_x0020_Vendor_x0020_ID,ERPLink_x0020_Vendor_x0020_ID,Vendor ID,,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{CF378129-EE3F-457F-A00C-72AB9312E9B8},Text,ERPLink_x0020_Vendor_x0020_Name,ERPLink_x0020_Vendor_x0020_Name,Vendor Name,,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{71AD88AE-8554-419F-B6EA-3FCF8F15F070},Text,ERPLink_x0020_Accounting_x0020_Document_x0020_Number,ERPLink_x0020_Accounting_x0020_Document_x0020_Number,Accounting Document Number,BKPF - BLNR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{8B7B5D4D-5B76-4DE8-806D-96E7F4F3232F},Text,ERPLink_x0020_Document_x0020_Status,ERPLink_x0020_Document_x0020_Status,Document Status,BKPF - BSTAT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{8E3BF5F6-CBBF-4A7F-B942-7021108C38F9},DateTime,ERPLink_x0020_Accounting_x0020_Document_x0020_Entry_x0020_Date,ERPLink_x0020_Accounting_x0020_Document_x0020_Entry_x0020_Date,Accounting Document Entry Date,VBKPF - RELDT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{8DCF458C-4513-4450-BEB9-0755CA9EDE97},DateTime,ERPLink_x0020_Document_x0020_Date,ERPLink_x0020_Document_x0020_Date,Document Date,BLDAT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{4529140C-9705-4D2B-B963-867D01622BAF},Text,ERPLink_x0020_Reference,ERPLink_x0020_Reference,Reference,XBLNR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{AC636F30-3BE3-4CFD-9B69-98D45C72BA24},DateTime,ERPLink_x0020_Posting_x0020_Date,ERPLink_x0020_Posting_x0020_Date,Posting Date,BUDAT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{53FABEF3-0E47-4BE1-9E37-CD9E696E2DEB},DateTime,ERPLink_x0020_Clearing_x0020_Date,ERPLink_x0020_Clearing_x0020_Date,Clearing Date,AUGDT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{F1A49C89-B469-41C0-B521-9668BE510C9C},Text,ERPLink_x0020_Identification_x0020_of_x0020_Line_x0020_Item,ERPLink_x0020_Identification_x0020_of_x0020_Line_x0020_Item,Identification of Line Item,BUZID,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{1D77AE9D-C1A4-4D61-B133-F2564B42B2C7},Text,ERPLink_x0020_Document_x0020_Number_x0020_of_x0020_Clearing_x0020_Document,ERPLink_x0020_Document_x0020_Number_x0020_of_x0020_Clearing_x0020_Document,Document Number of Clearing Document,AUGBL,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{5E25BD1D-787E-4093-A023-AB668E9744B1},Text,ERPLink_x0020_Account_x0020_Type,ERPLink_x0020_Account_x0020_Type,Account Type,KOART,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{5A12FDA4-1A97-49A6-B647-62749D7F146F},Text,ERPLink_x0020_Debit_x0020_Credit_x0020_Indicator,ERPLink_x0020_Debit_x0020_Credit_x0020_Indicator,Debit Credit Indicator,SHKZG,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{3287F2C8-7422-4A11-A23D-E24917C5AD72},Text,ERPLink_x0020_Business_x0020_Area,ERPLink_x0020_Business_x0020_Area,Business Area,GSBER,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{03548158-8486-4003-BDA4-3B991B518D44},Text,ERPLink_x0020_Trading_x0020_Partner_x0020_Business_x0020_Area,ERPLink_x0020_Trading_x0020_Partner_x0020_Business_x0020_Area,Trading Partner Business Area,PARGB,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{53088EFC-4A0D-4569-9949-4D3F298EEAEA},Text,ERPLink_x0020_Amount_x0020_in_x0020_Local_x0020_Currency,ERPLink_x0020_Amount_x0020_in_x0020_Local_x0020_Currency,Amount in Local Currency,DMBTR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{58DD2F79-9A40-435B-AC81-B69114EF5594},Text,ERPLink_x0020_Amount_x0020_in_x0020_Document_x0020_Currency,ERPLink_x0020_Amount_x0020_in_x0020_Document_x0020_Currency,Amount in Document Currency,WRBTR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{0D785CE0-7603-4E4D-A64F-FF400134686B},Text,ERPLink_x0020_Amount_x0020_for_x0020_Updating_x0020_in_x0020_General_x0020_Ledger,ERPLink_x0020_Amount_x0020_for_x0020_Updating_x0020_in_x0020_General_x0020_Ledger,Amount for Updating in General Ledger,PSWBT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{F6C51180-9F1B-4A6E-ABBD-ED9939CC7BB9},Text,ERPLink_x0020_Company_x0020_ID_x0020_of_x0020_Trading_x0020_Partner,ERPLink_x0020_Company_x0020_ID_x0020_of_x0020_Trading_x0020_Partner,Company ID of Trading Partner,VBUND,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{D3244C35-F949-421F-9D2C-BB35B0718ACD},Text,ERPLink_x0020_Cost_x0020_Center,ERPLink_x0020_Cost_x0020_Center,Cost Center,KOSTL,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{60CF2B41-9BAE-49C6-B99B-4CD7BF4D4BA5},Text,ERPLink_x0020_GL_x0020_Account_x0020_Number,ERPLink_x0020_GL_x0020_Account_x0020_Number,GL Account Number,SAKNR,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
http://cthub.murphyoilcorp.com,{2BA278C3-D885-4079-B69C-D2AA9AA4853C},Text,ERPLink_x0020_General_x0020_Ledger_x0020_Account,ERPLink_x0020_General_x0020_Ledger_x0020_Account,General Ledger Account,HKONT,ERP Link,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
