"TermSetName","TermSetDescription","LCID","AvailableForTagging","TermDescription","Level1","Level2","Level3","Level4","Level5","Level6","Level7"
"Murphy Entity","","","TRUE","","","","","","","",""
"","","","TRUE","","EXPRO","","","","","",""
"","","","TRUE","","EXPRO-INTL","","","","","",""
"","","","TRUE","","EXPRO-USA","","","","","",""
"","","","TRUE","","MCL","","","","","",""
"","","","TRUE","","MEPC","","","","","",""
"","","","TRUE","","MOC","","","","","",""
"","","","TRUE","","MOCL","","","","","",""
